caso,nodo,k_core_index
CyL (|V|=100),Adrada (La),3
CyL (|V|=100),Mombeltrán,3
CyL (|V|=100),Arévalo,4
CyL (|V|=100),Ávila,3
CyL (|V|=100),Barco de Ávila (El),3
CyL (|V|=100),Navaluenga,3
CyL (|V|=100),Candeleda,3
CyL (|V|=100),Cebreros,3
CyL (|V|=100),Carpio,4
CyL (|V|=100),Espinar (El),3
CyL (|V|=100),Piedrahíta,3
CyL (|V|=100),Burgos,3
CyL (|V|=100),Aranda de Duero,3
CyL (|V|=100),Belorado,3
CyL (|V|=100),Briviesca,3
CyL (|V|=100),Miranda de Ebro,3
CyL (|V|=100),Villarcayo de Merindad de Castilla la Vieja,2
CyL (|V|=100),Huerta de Rey,3
CyL (|V|=100),Lerma,3
CyL (|V|=100),Melgar de Fernamental,3
CyL (|V|=100),Merindad de Río Ubierna,3
CyL (|V|=100),Trespaderne,3
CyL (|V|=100),Duruelo de la Sierra,3
CyL (|V|=100),Roa,3
CyL (|V|=100),Salas de los Infantes,3
CyL (|V|=100),Villadiego,3
CyL (|V|=100),Valle de Mena,2
CyL (|V|=100),San Justo de la Vega,4
CyL (|V|=100),Bañeza (La),4
CyL (|V|=100),Folgoso de la Ribera,4
CyL (|V|=100),Santa Marina del Rey,5
CyL (|V|=100),Sabero,4
CyL (|V|=100),Cubillos del Sil,4
CyL (|V|=100),Villadecanes,4
CyL (|V|=100),Santovenia de la Valdoncina,5
CyL (|V|=100),Villaquilambre,5
CyL (|V|=100),Vega de Espinareda,4
CyL (|V|=100),Gradefes,5
CyL (|V|=100),Villamañán,5
CyL (|V|=100),Villasabariego,5
CyL (|V|=100),Pola de Gordón (La),5
CyL (|V|=100),Palacios del Sil,4
CyL (|V|=100),Puente de Domingo Flórez,3
CyL (|V|=100),Villada,4
CyL (|V|=100),Valderas,4
CyL (|V|=100),Velilla del Río Carrión,3
CyL (|V|=100),Barruelo de Santullán,2
CyL (|V|=100),Herrera de Pisuerga,3
CyL (|V|=100),Torquemada,4
CyL (|V|=100),Carrión de los Condes,4
CyL (|V|=100),Cervera de Pisuerga,3
CyL (|V|=100),Venta de Baños,4
CyL (|V|=100),Palencia,4
CyL (|V|=100),Paredes de Nava,4
CyL (|V|=100),Saldaña,4
CyL (|V|=100),Terradillos,4
CyL (|V|=100),Alberca (La),3
CyL (|V|=100),Aldeadávila de la Ribera,3
CyL (|V|=100),Salamanca,4
CyL (|V|=100),Béjar,3
CyL (|V|=100),Villoria,4
CyL (|V|=100),Ciudad Rodrigo,3
CyL (|V|=100),Fuente de San Esteban (La),3
CyL (|V|=100),Fuentes de Oñoro,2
CyL (|V|=100),Guijuelo,3
CyL (|V|=100),Ledesma,3
CyL (|V|=100),Lumbrales,3
CyL (|V|=100),Peñaranda de Bracamonte,4
CyL (|V|=100),Vitigudino,3
CyL (|V|=100),Mozoncillo,3
CyL (|V|=100),Cantalejo,3
CyL (|V|=100),Carbonero el Mayor,4
CyL (|V|=100),Nava de la Asunción,4
CyL (|V|=100),Campaspero,4
CyL (|V|=100),San Cristóbal de Segovia,3
CyL (|V|=100),Ólvega,1
CyL (|V|=100),Almazán,2
CyL (|V|=100),Arcos de Jalón,1
CyL (|V|=100),Berlanga de Duero,2
CyL (|V|=100),Burgo de Osma-Ciudad de Osma,3
CyL (|V|=100),Soria,2
CyL (|V|=100),San Leonardo de Yagüe,3
CyL (|V|=100),Pedraja de Portillo (La),6
CyL (|V|=100),Zaratán,6
CyL (|V|=100),Viana de Cega,6
CyL (|V|=100),Santovenia de Pisuerga,6
CyL (|V|=100),Pedrajas de San Esteban,6
CyL (|V|=100),Seca (La),6
CyL (|V|=100),Villabrágima,4
CyL (|V|=100),Traspinedo,6
CyL (|V|=100),Trabazos,1
CyL (|V|=100),Benavente,4
CyL (|V|=100),Bermillo de Sayago,3
CyL (|V|=100),Villaralbo,3
CyL (|V|=100),Fermoselle,3
CyL (|V|=100),Fuentesaúco,4
CyL (|V|=100),Puebla de Sanabria,1
CyL (|V|=100),Toro,4
CyL (|V|=100),Santibáñez de Vidriales,3
